East_m,North_m,Depth_m
567977.729,4469901.518,0.622
567978.253,4469901.754,0.711
567978.712,4469902.003,0.791
567979.192,4469902.137,0.81
567980.526,4469900.561,0.993
567980.189,4469900.35,0.893
567979.548,4469899.872,0.836
567978.789,4469899.476,0.702
567978.04,4469899.15,0.505
567977.206,4469898.666,0.367
567976.731,4469898.486,0.201
567976.262,4469898.261,0.088
567977.371,4469895.304,0.139
567977.879,4469895.657,0.257
567978.312,4469895.817,0.473
567979.022,4469896.021,0.613
567979.531,4469896.132,0.716
567980.152,4469896.35,0.831
567980.824,4469896.698,0.893
567982.27,4469894.261,1.051
567981.758,4469893.757,0.999
567981.264,4469893.036,0.856
567980.465,4469892.622,0.605
567979.967,4469892.283,0.411
567979.375,4469891.954,0.161
567980.967,4469888.828,0.162
567981.653,4469889.282,0.377
567982.267,4469889.551,0.569
567982.683,4469889.937,0.732
567983.345,4469890.262,0.876
567983.834,4469890.365,0.982
567985.74,4469887.152,1.052
567985.448,4469886.379,0.884
567985.24,4469885.61,0.764
567984.753,4469884.926,0.608
567984.075,4469883.51,0.247
567983.371,4469883.201,0.073
568032.056,4470027.021,0.531
568031.28,4470026.77,0.741
568030.369,4470026.617,0.93
568029.791,4470026.555,1.1
568029.763,4470026.568,1.101
568030.39,4470030.927,0.523
568029.735,4470030.702,0.683
568028.961,4470030.635,0.888
568029.143,4470035.174,0.497
568028.577,4470035.184,0.642
568027.975,4470035.023,0.805
568028.701,4470038.439,0.296
568028.068,4470038.276,0.476
568027.433,4470038.148,0.576
568026.831,4470037.985,0.728
568026.321,4470037.921,0.849
568026.81,4470042.792,0.339
568025.977,4470042.586,0.53
568025.174,4470042.507,0.729
568024.858,4470042.27,0.855
568024.884,4470046.797,0.525
568024.186,4470046.755,0.707
568023.574,4470046.588,0.788
568022.943,4470046.672,0.894
568023.695,4470050.474,0.384
568023.067,4470050.311,0.602
568022.389,4470050.313,0.761
568021.874,4470050.141,0.842
568022.072,4470054.486,0.525
568021.39,4470054.363,0.68
568020.82,4470054.328,0.822
568020.243,4470054.218,0.968
568020.406,4470059.56,0.53
568019.731,4470059.533,0.755
568019.044,4470059.462,0.851
568018.573,4470059.427,0.939
568019.082,4470064.068,0.522
568018.373,4470064.134,0.732
568017.607,4470064.115,0.853
568016.986,4470064.101,0.956
568018.559,4470066.86,0.436
568017.787,4470066.699,0.665
568017.017,4470066.526,0.8
568016.498,4470066.515,0.885
568017.922,4470069.852,0.407
568017.381,4470069.803,0.57
568016.926,4470069.78,0.703
568016.292,4470069.715,0.83
568015.733,4470069.648,0.929
568017.002,4470073.717,0.316
568016.401,4470073.643,0.576
568015.792,4470073.638,0.675
568015.148,4470073.598,0.803
568016.052,4470076.983,0.271
568015.299,4470076.9,0.477
568014.536,4470076.79,0.72
568013.862,4470076.78,0.872
568014.703,4470080.475,0.467
568013.952,4470080.413,0.664
568013.319,4470080.325,0.771
568012.707,4470080.224,0.905
568013.735,4470083.824,0.509
568012.85,4470083.67,0.702
568012.296,4470083.625,0.823
568011.638,4470083.4,0.923
568012.855,4470087.838,0.438
568012.069,4470087.892,0.626
568011.417,4470087.838,0.79
568011.901,4470091.619,0.343
568011.198,4470091.467,0.548
568010.473,4470091.412,0.74
568009.977,4470091.363,0.826
568010.665,4470095.679,0.392
568010.069,4470095.55,0.556
568009.397,4470095.423,0.745
568008.877,4470095.402,0.849
568009.73,4470099.414,0.446
568009.316,4470099.294,0.607
568008.742,4470099.178,0.766
568007.981,4470099.073,0.95
568008.264,4470104.177,0.481
568007.552,4470104.065,0.728
568006.996,4470104.013,0.818
568007.793,4470108.322,0.412
568007.241,4470108.21,0.599
568006.622,4470108.034,0.754
568005.967,4470108.096,0.874
568005.3,4470108.063,1.007
568006.689,4470112.371,0.434
567911.28,4470123.672,0.167
567911.211,4470124.645,0.09
567911.153,4470125.483,0.185
567911.012,4470126.558,0.239
567910.947,4470127.82,0.27
567910.852,4470129.503,0.363
567910.732,4470131.11,0.372
567910.53,4470132.728,0.509
567910.422,4470134.315,0.612
