Latitude_WGS84,Longitude_WGS84,Elev_m_NAVD88
41.539539,-83.691379,176.42
41.539537,-83.691377,176.46
41.539536,-83.691376,176.44
41.539535,-83.691373,176.39
41.539534,-83.691373,176.37
41.539532,-83.691371,176.41
41.539531,-83.691369,176.43
41.539530,-83.691369,176.41
41.539529,-83.691367,176.41
41.539527,-83.691366,176.38
41.539526,-83.691366,176.43
41.539525,-83.691364,176.42
41.539524,-83.691364,176.41
41.539523,-83.691363,176.44
41.539521,-83.691362,176.41
41.539520,-83.691362,176.44
41.539519,-83.691361,176.46
41.539518,-83.691361,176.49
41.539517,-83.691361,176.50
41.539516,-83.691361,176.45
41.539514,-83.691360,176.43
41.539513,-83.691360,176.44
41.539512,-83.691360,176.43
41.539501,-83.691367,176.45
41.539501,-83.691367,176.48
41.539500,-83.691367,176.50
41.539500,-83.691368,176.47
41.539500,-83.691367,176.50
41.539499,-83.691368,176.47
41.539500,-83.691367,176.46
41.539499,-83.691367,176.49
41.539499,-83.691367,176.46
41.539499,-83.691367,176.48
41.539499,-83.691366,176.47
41.539499,-83.691366,176.45
41.539499,-83.691366,176.50
41.539499,-83.691365,176.49
41.539499,-83.691365,176.46
41.539499,-83.691364,176.49
41.539499,-83.691363,176.47
41.539499,-83.691363,176.46
41.539499,-83.691362,176.45
41.539499,-83.691361,176.46
41.539499,-83.691360,176.48
41.539499,-83.691360,176.50
41.539499,-83.691359,176.49
41.539499,-83.691358,176.50
41.539499,-83.691358,176.50
41.539499,-83.691357,176.51
41.539498,-83.691357,176.50
41.539499,-83.691357,176.52
41.539499,-83.691357,176.52
41.539499,-83.691358,176.52
41.539499,-83.691358,176.49
41.539500,-83.691359,176.49
41.539500,-83.691360,176.49
41.539501,-83.691361,176.47
41.539502,-83.691362,176.53
41.539502,-83.691363,176.48
41.539503,-83.691364,176.43
41.539504,-83.691365,176.44
41.539505,-83.691367,176.44
41.539506,-83.691368,176.42
41.539507,-83.691369,176.42
41.539509,-83.691371,176.43
41.539510,-83.691373,176.41
41.539512,-83.691374,176.40
41.539513,-83.691375,176.41
41.539514,-83.691377,176.39
41.539516,-83.691378,176.38
41.539518,-83.691379,176.36
41.539520,-83.691380,176.37
41.539522,-83.691382,176.38
41.539524,-83.691382,176.40
41.539526,-83.691383,176.43
41.539528,-83.691385,176.40
41.539531,-83.691385,176.40
41.539532,-83.691386,176.43
41.539535,-83.691387,176.40
41.539538,-83.691387,176.38
41.539540,-83.691388,176.41
41.539542,-83.691389,176.37
41.539546,-83.691389,176.36
41.539549,-83.691389,176.44
41.539551,-83.691390,176.35
41.539556,-83.691389,176.30
41.539558,-83.691390,176.39
41.539562,-83.691389,176.35
41.539565,-83.691389,176.38
41.539567,-83.691389,176.34
41.539572,-83.691390,176.31
41.539573,-83.691390,176.31
41.539577,-83.691390,176.31
41.539580,-83.691390,176.35
41.539581,-83.691390,176.31
41.539585,-83.691390,176.34
41.539587,-83.691389,176.37
41.539589,-83.691389,176.40
41.539592,-83.691388,176.41
41.539594,-83.691388,176.49
41.539597,-83.691388,176.42
41.539601,-83.691387,176.50
41.539603,-83.691387,176.53
41.539606,-83.691387,176.48
41.539609,-83.691387,176.44
41.539612,-83.691387,176.40
41.539614,-83.691387,176.39
41.539617,-83.691387,176.35
41.539620,-83.691388,176.34
41.539622,-83.691388,176.32
41.539624,-83.691388,176.27
41.539626,-83.691388,176.27
41.539628,-83.691388,176.29
41.539630,-83.691388,176.25
41.539632,-83.691388,176.26
41.539634,-83.691389,176.28
41.539637,-83.691389,176.22
41.539640,-83.691390,176.27
41.539641,-83.691391,176.30
41.539645,-83.691392,176.24
41.539648,-83.691393,176.32
41.539650,-83.691393,176.29
41.539655,-83.691394,176.31
41.539658,-83.691395,176.44
41.539661,-83.691396,176.26
41.539668,-83.691397,176.28
41.539670,-83.691397,176.35
41.539675,-83.691398,176.30
41.539680,-83.691398,176.35
41.539684,-83.691399,176.31
41.539690,-83.691398,176.34
41.539694,-83.691399,176.40
41.539700,-83.691398,176.39
41.539704,-83.691398,176.37
41.539709,-83.691397,176.31
41.539713,-83.691397,176.31
41.539717,-83.691397,176.21
41.539722,-83.691396,176.17
41.539727,-83.691395,176.12
41.539732,-83.691394,175.99
41.539737,-83.691393,176.23
41.539741,-83.691392,176.27
41.539746,-83.691391,176.22
41.539751,-83.691390,176.29
41.539755,-83.691389,176.29
41.539759,-83.691387,176.25
41.539764,-83.691386,176.22
41.539769,-83.691385,176.27
41.539772,-83.691384,176.28
41.539776,-83.691384,176.25
41.539779,-83.691382,176.26
41.539783,-83.691382,176.24
41.539786,-83.691381,176.29
41.539790,-83.691381,176.24
41.539793,-83.691382,176.28
41.539797,-83.691384,176.23
41.539800,-83.691385,176.21
41.539802,-83.691387,176.21
41.539805,-83.691389,176.17
41.539808,-83.691391,176.18
41.539810,-83.691393,176.20
41.539814,-83.691395,176.16
41.539818,-83.691398,176.18
41.539822,-83.691401,176.15
41.539827,-83.691404,176.24
41.539833,-83.691407,176.20
41.539837,-83.691411,176.19
41.539844,-83.691415,176.13
41.539848,-83.691419,176.23
41.539852,-83.691421,176.20
41.539857,-83.691424,176.23
41.539860,-83.691427,176.18
41.539863,-83.691430,176.18
41.539866,-83.691433,176.13
41.539871,-83.691437,176.14
41.539873,-83.691439,176.04
41.539877,-83.691441,176.02
41.539881,-83.691444,175.98
41.539883,-83.691447,175.93
41.539888,-83.691449,175.88
41.539892,-83.691453,175.84
41.539898,-83.691457,175.97
41.539905,-83.691459,175.97
41.539908,-83.691461,175.95
41.539914,-83.691462,175.93
41.539921,-83.691466,176.00
41.539928,-83.691470,176.03
41.539935,-83.691472,176.06
41.539940,-83.691475,176.07
41.539947,-83.691477,176.06
41.539951,-83.691478,176.05
41.539956,-83.691479,176.04
